port,elapsed_s,target_psia,mensor_psia,alicat_psia,transducer_psia,transducer_v,mensor_raw
port_b,6.331,22.00,21.9479,22.0000,21.4697,7.1566,+2.19479E+01
port_b,6.906,22.00,21.9478,22.0000,22.0112,7.3371,+2.19478E+01
port_b,7.482,22.00,21.9476,22.0000,21.8906,7.2969,+2.19476E+01
port_b,0.000,26.00,25.9317,26.0000,26.0053,8.6684,+2.59317E+01
port_b,0.572,26.00,25.9287,26.0000,25.9138,8.6379,+2.59287E+01
port_b,1.148,26.00,25.9277,26.0000,26.0043,8.6681,+2.59277E+01
port_b,1.724,26.00,25.9274,26.0000,25.0993,8.3664,+2.59274E+01
port_b,2.300,26.00,25.9275,26.0000,26.0020,8.6673,+2.59275E+01
port_b,2.875,26.00,25.9274,26.0000,25.0312,8.3437,+2.59274E+01
port_b,3.450,26.00,25.9272,26.0000,26.0006,8.6669,+2.59272E+01
port_b,4.027,26.00,25.9272,26.0000,25.7126,8.5709,+2.59272E+01
port_b,4.603,26.00,25.9266,26.0000,25.9989,8.6663,+2.59266E+01
port_b,5.179,26.00,25.9271,26.0000,26.0034,8.6678,+2.59271E+01
port_b,5.754,26.00,25.9271,26.0000,26.0023,8.6674,+2.59271E+01
port_b,6.330,26.00,25.9270,26.0000,26.0059,8.6686,+2.59270E+01
port_b,6.906,26.00,25.9271,26.0000,25.4983,8.4994,+2.59271E+01
port_b,7.482,26.00,25.9272,26.0000,26.0053,8.6684,+2.59272E+01
port_b,0.000,30.00,29.9145,30.0000,30.0003,10.0001,+2.99145E+01
port_b,0.571,30.00,29.9116,30.0000,29.1526,9.7175,+2.99116E+01
port_b,1.148,30.00,29.9101,30.0000,29.9961,9.9987,+2.99101E+01
port_b,1.724,30.00,29.9094,30.0000,29.6825,9.8942,+2.99094E+01
port_b,2.299,30.00,29.9094,30.0000,29.9949,9.9983,+2.99094E+01
port_b,2.875,30.00,29.9097,30.0000,29.9984,9.9995,+2.99097E+01
port_b,3.451,30.00,29.9099,30.0000,29.9933,9.9978,+2.99099E+01
port_b,4.027,30.00,29.9097,30.0000,30.0002,10.0001,+2.99097E+01
port_b,4.603,30.00,29.9093,30.0000,29.7888,9.9296,+2.99093E+01
port_b,5.178,30.00,29.9094,30.0000,29.9987,9.9996,+2.99094E+01
port_b,5.754,30.00,29.9093,30.0000,29.2718,9.7573,+2.99093E+01
port_b,6.330,30.00,29.9092,30.0000,29.9966,9.9989,+2.99092E+01
port_b,6.906,30.00,29.9095,30.0000,29.0825,9.6942,+2.99095E+01
port_b,7.481,30.00,29.9092,30.0000,29.9967,9.9989,+2.99092E+01
