elapsed_s,phase,port,alicat_addr,target_sp,alicat_psi,transducer_psi,transducer_v,offset
1.728,static,port_a,B,8.00,8.0000,8.0278,2.6759,0.0278
1.872,static,port_a,B,8.00,7.9900,8.0187,2.6729,0.0287
2.016,static,port_a,B,8.00,7.9900,8.0159,2.6720,0.0259
2.159,static,port_a,B,8.00,7.9900,8.0104,2.6701,0.0204
2.303,static,port_a,B,8.00,7.9800,8.0077,2.6692,0.0277
2.447,static,port_a,B,8.00,7.9800,8.0055,2.6685,0.0255
2.591,static,port_a,B,8.00,7.9700,7.9993,2.6664,0.0293
2.735,static,port_a,B,8.00,7.9700,7.9957,2.6652,0.0257
2.879,static,port_a,B,8.00,7.9700,7.9941,2.6647,0.0241
3.022,static,port_a,B,8.00,7.9600,7.9911,2.6637,0.0311
3.166,static,port_a,B,8.00,7.9600,7.9914,2.6638,0.0314
3.310,static,port_a,B,8.00,7.9600,7.9864,2.6621,0.0264
3.453,static,port_a,B,8.00,7.9600,7.9842,2.6614,0.0242
0.000,static,port_a,B,10.00,13.3400,13.3627,4.4542,0.0227
0.153,static,port_a,B,10.00,13.3400,13.3574,4.4525,0.0174
0.296,static,port_a,B,10.00,13.3400,13.3642,4.4547,0.0242
0.440,static,port_a,B,10.00,13.3400,12.4578,4.1526,-0.8822
0.584,static,port_a,B,10.00,13.3400,13.3634,4.4545,0.0234
0.728,static,port_a,B,10.00,13.3400,13.3573,4.4524,0.0173
0.871,static,port_a,B,10.00,13.3400,13.1933,4.3978,-0.1467
1.015,static,port_a,B,10.00,13.3400,13.3641,4.4547,0.0241
1.159,static,port_a,B,10.00,13.3400,12.5782,4.1927,-0.7618
1.303,static,port_a,B,10.00,13.3400,13.3596,4.4532,0.0196
1.447,static,port_a,B,10.00,13.3400,13.3642,4.4547,0.0242
1.590,static,port_a,B,10.00,13.3400,12.5176,4.1725,-0.8224
1.734,static,port_a,B,10.00,13.3400,13.3615,4.4538,0.0215
1.878,static,port_a,B,10.00,13.3400,13.2676,4.4225,-0.0724
2.022,static,port_a,B,10.00,13.3400,13.3611,4.4537,0.0211
2.165,static,port_a,B,10.00,13.3400,13.3639,4.4546,0.0239
2.310,static,port_a,B,10.00,13.3400,12.2895,4.0965,-1.0505
2.453,static,port_a,B,10.00,13.3400,13.3617,4.4539,0.0217
2.597,static,port_a,B,10.00,13.3400,13.3628,4.4543,0.0228
2.741,static,port_a,B,10.00,13.3400,12.7457,4.2486,-0.5943
2.884,static,port_a,B,10.00,13.3400,13.3606,4.4535,0.0206
3.028,static,port_a,B,10.00,13.3400,12.9871,4.3290,-0.3529
3.172,static,port_a,B,10.00,13.3400,13.3598,4.4533,0.0198
3.316,static,port_a,B,10.00,13.3400,13.3635,4.4545,0.0235
3.460,static,port_a,B,10.00,13.3400,12.2158,4.0719,-1.1242
0.000,static,port_a,B,14.00,14.0500,14.0740,4.6913,0.0240
0.152,static,port_a,B,14.00,14.0500,14.0797,4.6932,0.0297
0.296,static,port_a,B,14.00,14.0600,14.0834,4.6945,0.0234
0.440,static,port_a,B,14.00,14.0600,12.4712,4.1571,-1.5888
0.584,static,port_a,B,14.00,14.0600,14.0802,4.6934,0.0202
0.727,static,port_a,B,14.00,14.0600,13.9368,4.6456,-0.1232
0.871,static,port_a,B,14.00,14.0600,13.9891,4.6630,-0.0709
1.015,static,port_a,B,14.00,14.0600,14.0806,4.6935,0.0206
1.159,static,port_a,B,14.00,14.0600,13.1064,4.3688,-0.9536
1.303,static,port_a,B,14.00,14.0600,14.0803,4.6934,0.0203
1.446,static,port_a,B,14.00,14.0600,14.0805,4.6935,0.0205
1.590,static,port_a,B,14.00,14.0600,13.1829,4.3943,-0.8771
1.734,static,port_a,B,14.00,14.0600,14.0848,4.6949,0.0248
1.878,static,port_a,B,14.00,14.0600,14.0627,4.6876,0.0027
2.021,static,port_a,B,14.00,14.0600,14.0800,4.6933,0.0200
2.165,static,port_a,B,14.00,14.0600,14.0824,4.6941,0.0224
2.309,static,port_a,B,14.00,14.0600,13.0002,4.3334,-1.0598
2.453,static,port_a,B,14.00,14.0600,14.0813,4.6938,0.0213
2.597,static,port_a,B,14.00,14.0600,14.0867,4.6956,0.0267
2.740,static,port_a,B,14.00,14.0600,13.2584,4.4195,-0.8016
2.884,static,port_a,B,14.00,14.0600,14.0830,4.6943,0.0230
3.028,static,port_a,B,14.00,14.0600,13.7198,4.5733,-0.3402
3.172,static,port_a,B,14.00,14.0600,14.0789,4.6930,0.0189
3.316,static,port_a,B,14.00,14.0600,14.0855,4.6952,0.0255
3.460,static,port_a,B,14.00,14.0600,12.6975,4.2325,-1.3625
0.000,static,port_a,B,18.00,17.9700,17.9890,5.9963,0.0190
0.153,static,port_a,B,18.00,17.9600,17.6030,5.8677,-0.3570
0.296,static,port_a,B,18.00,17.9600,17.9856,5.9952,0.0256
0.440,static,port_a,B,18.00,17.9600,16.4473,5.4824,-1.5127
0.584,static,port_a,B,18.00,17.9600,17.9791,5.9930,0.0191
0.728,static,port_a,B,18.00,17.9600,17.9788,5.9929,0.0188
0.872,static,port_a,B,18.00,17.9600,17.2371,5.7457,-0.7229
1.015,static,port_a,B,18.00,17.9500,17.9761,5.9920,0.0261
1.159,static,port_a,B,18.00,17.9500,17.2234,5.7411,-0.7266
1.303,static,port_a,B,18.00,17.9500,17.9701,5.9900,0.0201
1.447,static,port_a,B,18.00,17.9500,17.9735,5.9912,0.0235
1.591,static,port_a,B,18.00,17.9500,16.3701,5.4567,-1.5799
1.734,static,port_a,B,18.00,17.9500,17.9712,5.9904,0.0212
1.878,static,port_a,B,18.00,18.0700,18.0897,6.0299,0.0197
2.022,static,port_a,B,18.00,18.0600,17.6657,5.8886,-0.3943
2.166,static,port_a,B,18.00,18.0600,18.0809,6.0270,0.0209
2.310,static,port_a,B,18.00,18.0600,17.2355,5.7452,-0.8245
2.453,static,port_a,B,18.00,18.0600,18.0750,6.0250,0.0150
2.597,static,port_a,B,18.00,18.0600,18.0770,6.0257,0.0170
2.741,static,port_a,B,18.00,18.0500,16.8471,5.6157,-1.2029
2.885,static,port_a,B,18.00,18.0500,18.0718,6.0239,0.0218
3.029,static,port_a,B,18.00,18.0500,17.8824,5.9608,-0.1676
3.172,static,port_a,B,18.00,18.0500,18.0511,6.0170,0.0011
3.316,static,port_a,B,18.00,18.0500,18.0692,6.0231,0.0192
3.460,static,port_a,B,18.00,18.0400,16.7988,5.5996,-1.2412
0.000,static,port_a,B,22.00,21.9400,21.9606,7.3202,0.0206
0.153,static,port_a,B,22.00,21.9400,20.3542,6.7847,-1.5858
0.297,static,port_a,B,22.00,21.9400,21.9638,7.3213,0.0238
0.441,static,port_a,B,22.00,21.9400,21.2368,7.0789,-0.7032
0.584,static,port_a,B,22.00,21.9400,21.9563,7.3188,0.0163
0.728,static,port_a,B,22.00,22.0700,22.0814,7.3605,0.0114
0.872,static,port_a,B,22.00,22.0500,20.3165,6.7722,-1.7335
1.016,static,port_a,B,22.00,22.0500,22.0662,7.3554,0.0162
1.160,static,port_a,B,22.00,22.0500,22.0648,7.3549,0.0148
1.303,static,port_a,B,22.00,22.0400,22.0396,7.3465,-0.0004
1.447,static,port_a,B,22.00,22.0400,22.0620,7.3540,0.0220
1.590,static,port_a,B,22.00,22.0400,20.9295,6.9765,-1.1105
1.734,static,port_a,B,22.00,22.0400,22.0600,7.3533,0.0200
1.878,static,port_a,B,22.00,22.0400,22.0645,7.3548,0.0245
