port,elapsed_s,target_psia,mensor_psia,alicat_psia,transducer_psia,transducer_v,mensor_raw
port_b,0.000,10.00,13.4405,13.4400,12.5540,4.1847,+1.34405E+01
port_b,0.568,10.00,13.4406,13.4400,13.4678,4.4893,+1.34406E+01
port_b,1.143,10.00,13.4406,13.4400,12.6593,4.2198,+1.34406E+01
port_b,1.719,10.00,13.4406,13.4400,13.4715,4.4905,+1.34406E+01
port_b,2.295,10.00,13.4407,13.4400,13.3848,4.4616,+1.34407E+01
port_b,2.870,10.00,13.4407,13.4400,13.4638,4.4879,+1.34407E+01
port_b,3.447,10.00,13.4406,13.4400,13.4686,4.4895,+1.34406E+01
port_b,4.022,10.00,13.4406,13.4400,13.3812,4.4604,+1.34406E+01
port_b,4.598,10.00,13.4406,13.4400,13.4704,4.4901,+1.34406E+01
port_b,5.174,10.00,13.4406,13.4400,12.3848,4.1283,+1.34406E+01
port_b,5.749,10.00,13.4406,13.4400,13.4699,4.4900,+1.34406E+01
port_b,0.000,18.00,17.9489,17.9900,18.0037,6.0012,+1.79489E+01
port_b,0.572,18.00,17.9567,17.9900,18.0075,6.0025,+1.79567E+01
port_b,1.148,18.00,17.9614,17.9900,18.0082,6.0027,+1.79614E+01
port_b,1.724,18.00,17.9639,17.9900,18.0112,6.0037,+1.79639E+01
port_b,2.300,18.00,17.9654,18.0000,17.5255,5.8418,+1.79654E+01
port_b,2.875,18.00,17.9663,18.0000,18.0173,6.0058,+1.79663E+01
port_b,3.452,18.00,17.9669,18.0000,16.9501,5.6500,+1.79669E+01
port_b,4.027,18.00,17.9675,18.0000,18.0153,6.0051,+1.79675E+01
port_b,4.603,18.00,17.9674,18.0000,17.6702,5.8901,+1.79674E+01
port_b,5.179,18.00,17.9680,18.0000,18.0137,6.0046,+1.79680E+01
port_b,5.754,18.00,17.9683,18.0000,18.0186,6.0062,+1.79683E+01
port_b,0.000,26.00,25.9325,26.0000,26.0025,8.6675,+2.59325E+01
port_b,0.572,26.00,25.9296,26.0000,25.1334,8.3778,+2.59296E+01
port_b,1.148,26.00,25.9287,26.0000,26.0020,8.6673,+2.59287E+01
port_b,1.724,26.00,25.9283,26.0000,25.5537,8.5179,+2.59283E+01
port_b,2.300,26.00,25.9281,26.0000,26.0020,8.6673,+2.59281E+01
port_b,2.876,26.00,25.9281,26.0000,26.0037,8.6679,+2.59281E+01
port_b,3.451,26.00,25.9281,26.0000,25.9958,8.6653,+2.59281E+01
port_b,4.027,26.00,25.9282,26.0000,26.0063,8.6688,+2.59282E+01
port_b,4.603,26.00,25.9283,26.0000,25.2837,8.4279,+2.59283E+01
port_b,5.179,26.00,25.9280,26.0000,26.0017,8.6672,+2.59280E+01
port_b,5.754,26.00,25.9278,26.0000,25.3151,8.4384,+2.59278E+01
port_b,0.000,30.00,29.9107,30.0000,29.9959,9.9986,+2.99107E+01
port_b,0.573,30.00,29.9084,30.0000,29.8297,9.9432,+2.99084E+01
port_b,1.148,30.00,29.9070,30.0000,29.9988,9.9996,+2.99070E+01
port_b,1.724,30.00,29.9071,30.0000,29.0720,9.6907,+2.99071E+01
port_b,2.300,30.00,29.9068,30.0000,29.9931,9.9977,+2.99068E+01
port_b,2.875,30.00,29.9069,30.0000,29.7580,9.9193,+2.99069E+01
port_b,3.451,30.00,29.9074,30.0000,29.9949,9.9983,+2.99074E+01
port_b,4.027,30.00,29.9070,30.0000,29.9979,9.9993,+2.99070E+01
port_b,4.603,30.00,29.9072,30.0000,29.9905,9.9968,+2.99072E+01
port_b,5.179,30.00,29.9070,30.0000,29.9980,9.9993,+2.99070E+01
port_b,5.754,30.00,29.9072,30.0000,29.3298,9.7766,+2.99072E+01
