port,elapsed_s,target_psia,mensor_psia,alicat_psia,transducer_psia,transducer_v,mensor_raw
port_b,0.000,18.00,13.4411,17.9200,17.9272,5.9757,+1.34411E+01
port_b,0.572,18.00,13.4411,17.9200,17.3293,5.7764,+1.34411E+01
port_b,1.149,18.00,13.4411,17.9200,17.9216,5.9739,+1.34411E+01
port_b,1.724,18.00,13.4411,17.9200,16.9542,5.6514,+1.34411E+01
port_b,2.300,18.00,13.4411,17.9200,17.9237,5.9746,+1.34411E+01
port_b,2.876,18.00,13.4411,17.9200,17.3247,5.7749,+1.34411E+01
port_b,3.451,18.00,13.4411,17.9200,17.9245,5.9748,+1.34411E+01
port_b,4.027,18.00,13.4411,17.9200,17.9200,5.9733,+1.34411E+01
port_b,4.603,18.00,13.4411,17.9200,17.9181,5.9727,+1.34411E+01
port_b,0.000,26.00,13.4411,26.2000,26.2073,8.7358,+1.34411E+01
port_b,0.572,26.00,13.4411,26.2000,26.1863,8.7288,+1.34411E+01
port_b,1.148,26.00,13.4411,26.2000,26.2130,8.7377,+1.34411E+01
port_b,1.723,26.00,13.4411,26.2100,25.5348,8.5116,+1.34411E+01
port_b,2.299,26.00,13.4411,26.2100,26.2136,8.7379,+1.34411E+01
port_b,2.875,26.00,13.4411,26.2100,25.4471,8.4824,+1.34411E+01
port_b,3.451,26.00,13.4411,26.1300,26.1338,8.7113,+1.34411E+01
port_b,4.026,26.00,13.4411,26.1200,26.0876,8.6959,+1.34411E+01
port_b,4.602,26.00,13.4411,26.0800,26.0790,8.6930,+1.34411E+01
