port,elapsed_s,target_psia,mensor_psia,alicat_psia,transducer_psia,transducer_v,mensor_raw
port_b,0.000,10.00,13.4416,13.4500,13.4492,4.4831,+1.34416E+01
port_b,0.568,10.00,13.4416,13.4400,13.0124,4.3375,+1.34416E+01
port_b,1.143,10.00,13.4417,13.4400,13.4498,4.4833,+1.34417E+01
port_b,1.719,10.00,13.4416,13.4400,13.4564,4.4855,+1.34416E+01
port_b,2.296,10.00,13.4416,13.4400,13.2244,4.4081,+1.34416E+01
port_b,2.871,10.00,13.4416,13.4500,13.4508,4.4836,+1.34416E+01
port_b,3.447,10.00,13.4417,13.4400,12.4279,4.1426,+1.34417E+01
port_b,4.022,10.00,13.4417,13.4400,13.4523,4.4841,+1.34417E+01
port_b,4.599,10.00,13.4417,13.4500,12.7916,4.2639,+1.34417E+01
port_b,5.174,10.00,13.4417,13.4400,13.4522,4.4841,+1.34417E+01
port_b,5.751,10.00,13.4415,13.4500,13.4506,4.4835,+1.34415E+01
port_b,0.000,18.00,13.4415,13.4500,13.4528,4.4843,+1.34415E+01
port_b,0.569,18.00,13.4416,13.4400,13.3931,4.4644,+1.34416E+01
port_b,1.145,18.00,13.4415,13.4500,13.4487,4.4829,+1.34415E+01
port_b,1.721,18.00,13.4415,13.4400,13.4568,4.4856,+1.34415E+01
port_b,2.296,18.00,13.4415,13.4400,12.6151,4.2050,+1.34415E+01
port_b,2.873,18.00,13.4415,13.4400,13.4535,4.4845,+1.34415E+01
port_b,3.449,18.00,13.4415,13.4400,12.5804,4.1935,+1.34415E+01
port_b,4.024,18.00,13.4415,13.4400,13.4538,4.4846,+1.34415E+01
port_b,4.600,18.00,13.4415,13.4400,13.4269,4.4756,+1.34415E+01
port_b,5.176,18.00,13.4415,13.4400,13.4488,4.4829,+1.34415E+01
port_b,5.752,18.00,13.4415,13.4400,13.4552,4.4851,+1.34415E+01
port_b,0.000,26.00,13.4415,13.4400,13.0967,4.3656,+1.34415E+01
port_b,0.569,26.00,13.4414,13.4400,13.4502,4.4834,+1.34414E+01
port_b,1.144,26.00,13.4415,13.4400,12.2781,4.0927,+1.34415E+01
port_b,1.720,26.00,13.4415,13.4400,13.4530,4.4843,+1.34415E+01
port_b,2.297,26.00,13.4414,13.4400,13.0240,4.3413,+1.34414E+01
port_b,2.872,26.00,13.4414,13.4400,13.4506,4.4835,+1.34414E+01
port_b,3.448,26.00,13.4414,13.4400,13.4531,4.4844,+1.34414E+01
port_b,4.023,26.00,13.4414,13.4400,13.4479,4.4826,+1.34414E+01
port_b,4.599,26.00,13.4414,13.4400,13.4525,4.4842,+1.34414E+01
port_b,5.175,26.00,13.4414,13.4400,12.4805,4.1602,+1.34414E+01
port_b,5.751,26.00,13.4414,13.4400,13.4534,4.4845,+1.34414E+01
port_b,0.000,30.00,13.4414,13.4400,12.7764,4.2588,+1.34414E+01
port_b,0.570,30.00,13.4414,13.4500,13.4534,4.4845,+1.34414E+01
port_b,1.146,30.00,13.4414,13.4400,13.4434,4.4811,+1.34414E+01
port_b,1.721,30.00,13.4414,13.4400,13.4490,4.4830,+1.34414E+01
port_b,2.297,30.00,13.4413,13.4400,13.4573,4.4858,+1.34413E+01
port_b,2.872,30.00,13.4414,13.4400,12.7588,4.2529,+1.34414E+01
port_b,3.448,30.00,13.4414,13.4400,13.4509,4.4836,+1.34414E+01
port_b,4.024,30.00,13.4414,13.4400,12.4271,4.1424,+1.34414E+01
port_b,4.600,30.00,13.4414,13.4400,13.4503,4.4834,+1.34414E+01
port_b,5.176,30.00,13.4413,13.4400,13.3667,4.4556,+1.34413E+01
port_b,5.752,30.00,13.4414,13.4400,13.4512,4.4837,+1.34414E+01
