elapsed_s,phase,port,alicat_addr,target_sp,alicat_psi,transducer_psi,transducer_v,offset
0.000,static,port_a,B,14.00,14.0600,14.0861,4.6954,0.0261
0.140,static,port_a,B,14.00,14.0600,12.8508,4.2836,-1.2092
0.283,static,port_a,B,14.00,14.0600,14.0855,4.6952,0.0255
0.427,static,port_a,B,14.00,14.0600,14.0889,4.6963,0.0289
0.571,static,port_a,B,14.00,14.0400,13.1322,4.3774,-0.9078
0.715,static,port_a,B,14.00,14.0400,14.0673,4.6891,0.0273
0.859,static,port_a,B,14.00,14.0400,13.9380,4.6460,-0.1020
1.002,static,port_a,B,14.00,14.0400,14.0611,4.6870,0.0211
1.146,static,port_a,B,14.00,14.0400,14.0644,4.6881,0.0244
1.290,static,port_a,B,14.00,14.0400,12.8792,4.2931,-1.1608
1.434,static,port_a,B,14.00,14.0400,14.0614,4.6871,0.0214
1.577,static,port_a,B,14.00,14.0400,14.0654,4.6885,0.0254
1.721,static,port_a,B,14.00,14.0400,12.7054,4.2351,-1.3346
1.865,static,port_a,B,14.00,14.0400,14.0611,4.6870,0.0211
2.009,static,port_a,B,14.00,14.0400,14.0295,4.6765,-0.0105
2.153,static,port_a,B,14.00,14.0400,13.7847,4.5949,-0.2553
2.296,static,port_a,B,14.00,14.0400,14.0629,4.6876,0.0229
2.440,static,port_a,B,14.00,14.0400,13.3226,4.4409,-0.7174
2.584,static,port_a,B,14.00,14.0400,14.0606,4.6869,0.0206
2.728,static,port_a,B,14.00,14.0400,14.0659,4.6886,0.0259
2.872,static,port_a,B,14.00,14.0400,12.5083,4.1694,-1.5317
3.016,static,port_a,B,14.00,14.0400,14.0636,4.6879,0.0236
3.159,static,port_a,B,14.00,14.0400,14.0632,4.6877,0.0232
3.303,static,port_a,B,14.00,14.0400,13.7110,4.5703,-0.3290
3.447,static,port_a,B,14.00,14.0400,14.0614,4.6871,0.0214
0.000,static,port_a,B,18.00,18.0700,18.0880,6.0293,0.0180
0.141,static,port_a,B,18.00,18.0500,16.1066,5.3689,-1.9434
0.283,static,port_a,B,18.00,18.0400,18.0659,6.0220,0.0259
0.428,static,port_a,B,18.00,18.0300,17.8346,5.9449,-0.1954
0.571,static,port_a,B,18.00,18.0200,18.0045,6.0015,-0.0155
0.715,static,port_a,B,18.00,18.0100,18.0329,6.0110,0.0229
0.859,static,port_a,B,18.00,18.0000,17.0239,5.6746,-0.9761
1.003,static,port_a,B,18.00,17.9900,18.0118,6.0039,0.0218
1.147,static,port_a,B,18.00,17.9800,18.0050,6.0017,0.0250
1.290,static,port_a,B,18.00,17.9700,16.3549,5.4516,-1.6151
